Name,traffic_april8,traffic_april9,traffic_april10,traffic_april11,traffic_april12,traffic_april13
MONTROSE AV,10431.0,8513.0,10137.0,10074.0,10205.0,10212.0
ALABAMA AV,2708.0,2172.75,4629.25,4682.75,4597.0,4682.5
111 ST,1626.5,1181.75,3346.0,3365.0,3275.75,3379.0
WHITLOCK AV,2501.0,1982.0,3505.0,3205.0,3231.0,3220.0
SUTPHIN BLVD,4216.5,3497.75,6979.25,6735.0,6902.5,7130.5
215 ST,1814.0,1612.0,2830.0,2881.0,2693.0,2728.0
HOWARD BCH JFK,7122.80307407,7320.21265366,9076.25,8434.5,8432.0,8837.72859182
110 ST,14790.0,12158.0,19582.0,19354.0,19802.168451,20173.0
MORISN AV/SNDVW,8781.0,6928.0,11530.0,10955.0,11161.0,11270.0
1 AV,38912.0,29905.0,39392.0,40848.0,39279.0,42685.0
34 ST-HERALD SQ,147328.0,122491.0,230293.393882,236985.0,240931.0,253766.0
INTERVALE AV,4158.5,3405.625,5940.875,6443.25,6073.25,6248.75
77 ST,29811.25,23683.25,52912.5,51270.75,55397.75,54960.4423473
23 ST,20327.5,15899.25,25000.5,26190.25,26724.5,27676.75
ASTOR PL,25994.5,19851.75,31552.75,35045.75,35175.75,37681.75
14 ST-UNION SQ,48145.0,39143.5,55874.5,58529.0,58056.9430452,57881.766546
JAMAICA 179 ST,15305.0,11291.0,30897.0,30979.0,31238.0,31443.0
SPRING ST,21164.0,15870.0,21946.0,24079.0,23736.0,26168.0
QUEENSBORO PLZ,10622.0,8252.0,16219.0,16232.0,16931.0,16890.0
PELHAM PKWY,22.75,33.0,4745.75,5306.75,5067.25,4989.5
UTICA AV,20799.75,18040.25,26974.0,27939.75,27429.25,27836.5
161/YANKEE STAD,23853.0,19692.0,61244.0,37134.0,53797.0,57152.0
JUNCTION BLVD,29932.0,23460.0,38419.0,38220.0,37718.0,38565.0
PROSPECT AV,3758.0,3098.0,8845.84983494,9310.0,9552.0,9732.0
GATES AV,6430.5,5523.75,8673.75,8784.5,8723.25,8836.75
TOMPKINSVILLE,586.5,409.0,745.5,753.5,748.5,777.0
138/GRAND CONC,3636.0,2607.0,6183.0,7046.0,6017.0,5908.0
96 ST,50044.0,43957.5,67183.5,65677.75,68000.25,72493.75
20 AV,3700.0,3249.0,6494.0,6124.0,6119.0,6430.0
CHURCH AV,27934.0,22551.0,32397.0,32732.0,32783.0,33831.0
46 ST,10024.75,8614.5,15485.0,15678.1582451,15567.0,15485.0
36 AV,8721.0,6838.0,11607.0,12018.0,11772.0,12151.0
BEACH 44 ST,1028.0,801.0,1440.0,1448.0,1396.0,1469.0
ROOSEVELT ISLND,10555.0,9725.0,13584.0,14308.0,13735.0,14764.0
SARATOGA AV,89.0,31.0,11113.0,11829.0,11512.0,11466.0
69 ST,8108.75,6864.0,9403.75,9697.0,8691.5,8928.75
JOURNAL SQUARE,24825.5452697,20710.7345023,46039.688295,54234.1151153,53099.9182013,53290.0783956
CONEY IS-STILLW,20290.0,30134.5,29029.0,34499.0,24194.5,29845.5
9 AV,4587.25,4461.25,10849.5,10156.25,10326.0,10300.0
AQUEDUCT N.COND,2563.0,1947.75,2671.0,2630.75,2890.75,2888.75
28 ST,12864.25,10463.25,22610.0,23379.75,21782.25,21437.0
45 ST,7135.0,5285.0,13338.0,13981.0,13140.145635,13654.0
66 ST-LINCOLN,27077.5,21340.25,36749.75,38301.75,40772.25,41321.75
SOUTH FERRY,20747.5,18438.5,36307.5,36536.5,31790.75,35637.25
BEACH 25 ST,2292.0,2063.0,3485.10626311,3580.0,3430.0,3457.0
86 ST,24871.25,21761.75,33462.75,33447.1434407,35189.75,36586.75
BURKE AV,2957.75,2401.25,4402.5,4670.75,4551.75,4476.5
PATH NEW WTC,34293.2723533,30557.9403876,99766.1271184,101315.743198,100782.799707,101849.285714
FT HAMILTON PKY,2665.5,2777.5741743,5299.55957019,4970.0,5267.75,6632.5
GRD CNTRL-42 ST,113205.0,91478.5,292091.125,293837.625,293713.5,302403.558411
OCEAN PKWY,3218.0,3084.0,4397.0,4379.0,4104.64863225,4104.64863225
JKSN HT-ROOSVLT,66599.0,53857.0,85221.0,87730.0,86899.0,86859.0
EAST BROADWAY,15422.0,13559.0,19713.0,20247.0,19439.0,21015.0
219 ST,3193.75,2552.0,4501.25,4741.75,4431.75,4612.75
CHAMBERS ST,19361.0,15085.0,35264.0,36820.0,36373.0,37630.0
30 AV,17905.0,14865.0,25641.0,26262.0,26327.0,26411.0
ST LAWRENCE AV,5747.0,4912.0,7315.98334159,7140.0,7619.0,7478.0
OZONE PK LEFFRT,8270.0,6077.0,13677.0,14054.0,13913.0,13889.0
CANARSIE-ROCKAW,8839.25,7028.5,15185.5,15562.25,14957.25,15162.75
WAKEFIELD/241,7755.0,6125.0,10225.75,10445.75,10090.75,10375.5
NEREID AV,2960.0,2179.75,4597.0,4932.0,4625.75,4692.5
BROOKLYN BRIDGE,19773.0,15422.0,37873.0,39654.0,38437.0,40655.0
33 ST,27017.5,21090.5,50020.25,51829.0,52880.75,55664.0
125 ST,14113.75,12827.25,20058.25,20624.5,20847.25,21010.75
MYRTLE-WILLOUGH,38.0,29.5,7564.5,7876.0,7934.75,8118.25
BEDFORD AV,72781.0483769,52774.0,55196.0,58110.0,57317.0,60977.0
RIT-MANHATTAN,4561.25,5154.5,4605.5,4415.55715499,4529.5,5678.75
NEWARK BM BW,3242.85714286,8657.98687118,17664.122807,18772.7177264,17366.8069747,16785.6556974
FOREST HILLS 71,22090.25,17864.25,38935.0,37958.5,38005.5,40810.75
PRINCE ST,29538.0,23673.0,27680.4979127,31065.0,30059.0,33441.0
ASTORIA DITMARS,21140.0,17063.0,31151.0,31832.0,31722.0,31768.0
NORTHERN BLVD,7306.5,6046.25,12474.0,12463.0,12484.75,12728.5
